시간,회사명,종목코드,공시제목,제출인,기간
2012.03.19,피에스엠씨,24850,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부,2011.09.19
2012.04.13,JH코오스,65310,관리종목지정,코스닥시장본부,2011.10.13
2012.05.17,큐리어스,45050,관리종목지정,코스닥시장본부,2011.11.17
2012.06.20,엔터미디어,68420,관리종목지정(불성실공시법인지정),코스닥시장본부,2011.12.20
2012.07.23,엔케이바이오,19260,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2012.01.23
2012.08.01,금강제강,105070,관리종목지정(상장폐지사유발생),코스닥시장본부,2012.02.01
2012.08.13,오리엔탈정공,14940,관리종목지정,코스닥시장본부,2012.02.13
2012.08.14,티에스넥스젠,43220,관리종목지정,코스닥시장본부,2012.02.14
2012.08.14,GT&T,53870,[정정]관리종목지정(사업보고서 미제출),코스닥시장본부,2012.02.14
2012.08.29,이디디컴퍼니,52650,관리종목지정,코스닥시장본부,2012.02.29
2012.08.31,디지텍시스템,91690,관리종목지정(사업보고서(연결감사보고서) 미제출),코스닥시장본부,2012.02.29
2012.09.18,SSCP,71660,관리종목지정(상장폐지 사유 발생),코스닥시장본부,2012.03.18
2012.09.20,메디콕스,54180,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2012.03.20
2012.10.18,엘컴텍,37950,관리종목지정(회생절차 개시신청),코스닥시장본부,2012.04.18
2012.11.27,아큐텍,13780,관리종목지정(불성실공시),코스닥시장본부,2012.05.27
2012.12.13,네이처셀,7390,관리종목지정(불성실공시법인),코스닥시장본부,2012.06.13
2012.12.17,삼우이엠씨,26250,관리종목지정(회생절차 개시신청),코스닥시장본부,2012.06.17
2013.01.10,아큐텍,13780,관리종목지정(불성실공시),코스닥시장본부,2012.07.10
2013.01.30,엠텍비젼,74000,관리종목지정(회생절차 개시신청),코스닥시장본부,2012.07.30
2013.03.15,마이스코,88700,관리종목지정(회생절차 개시신청),코스닥시장본부,2012.09.15
2013.03.19,아이에이,38880,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2012.09.19
2013.03.21,아라온테크,41060,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2012.09.21
2013.03.21,렉스엘이앤지,4790,관리종목지정(자본잠식 50%이상 등),코스닥시장본부,2012.09.21
2013.03.21,디에스,51710,관리종목지정(상장폐지사유 발생 등),코스닥시장본부,2012.09.21
2013.03.21,위다스,56810,관리종목지정(상장폐지 사유 발생 외 3건),코스닥시장본부,2012.09.21
2013.03.25,케이피엠테크,42040,관리종목지정(상장폐지사유 발생),코스닥시장본부,2012.09.25
